S/N,STATE,SENATORIAL ZONE,LGA,WARD,PU,DELIMITATION
2326,PLATEAU,NORTHERN,RIYOM,Ta-hoss,JEBBU PRY. SCHOOL,31/15/10/004
2327,PLATEAU,NORTHERN,RIYOM,Ta-hoss,TA-HOSS PRY. SCH . II,31/15/10/005
2328,PLATEAU,SOUTHERN,SHENDAM,Derteng,DUAN KWAN I,31/16/01/001
2329,PLATEAU,SOUTHERN,SHENDAM,Derteng,HAMBIAK,31/16/01/002
2330,PLATEAU,SOUTHERN,SHENDAM,Derteng,GAKLANG,31/16/01/003
2331,PLATEAU,SOUTHERN,SHENDAM,Derteng,DURKA,31/16/01/004
2332,PLATEAU,SOUTHERN,SHENDAM,Derteng,JAYU,31/16/01/005
2333,PLATEAU,SOUTHERN,SHENDAM,Derteng,RINGLONG,31/16/01/006
2334,PLATEAU,SOUTHERN,SHENDAM,Derteng,DUANKWAN II,31/16/01/007
2335,PLATEAU,SOUTHERN,SHENDAM,Kalong,DEMSHIN PRY. SCHOOL,31/16/02/001
2336,PLATEAU,SOUTHERN,SHENDAM,Kalong,DEMSHIN UNG. HATA,31/16/02/002
2337,PLATEAU,SOUTHERN,SHENDAM,Kalong,UNGWAN RINA,31/16/02/003
2338,PLATEAU,SOUTHERN,SHENDAM,Kalong,UNGWAN WALONG,31/16/02/004
2339,PLATEAU,SOUTHERN,SHENDAM,Kalong,LONGTENG BANTE,31/16/02/005
2340,PLATEAU,SOUTHERN,SHENDAM,Kalong,KALONG EAST I,31/16/02/006
2341,PLATEAU,SOUTHERN,SHENDAM,Kalong,DUNGRAM,31/16/02/007
2342,PLATEAU,SOUTHERN,SHENDAM,Kalong,KALONG I,31/16/02/008
2343,PLATEAU,SOUTHERN,SHENDAM,Kalong,JIMDUUT,31/16/02/009
2344,PLATEAU,SOUTHERN,SHENDAM,Kalong,LUWOU,31/16/02/010
2345,PLATEAU,SOUTHERN,SHENDAM,Kalong,KALONG UNG DADI,31/16/02/011
2346,PLATEAU,SOUTHERN,SHENDAM,Kalong,SHARGANG,31/16/02/012
2347,PLATEAU,SOUTHERN,SHENDAM,Kalong,GONGVEL,31/16/02/013
2348,PLATEAU,SOUTHERN,SHENDAM,Kalong,GOESA GONGVEL,31/16/02/014
2349,PLATEAU,SOUTHERN,SHENDAM,Kalong,GOESA UNG. ZAM,31/16/02/015
2350,PLATEAU,SOUTHERN,SHENDAM,Kalong,UNGWAN DUNGKUL,31/16/02/016
2351,PLATEAU,SOUTHERN,SHENDAM,Kalong,WALI,31/16/02/017
2352,PLATEAU,SOUTHERN,SHENDAM,Kalong,UNGWAN WALONG,31/16/02/018
2353,PLATEAU,SOUTHERN,SHENDAM,Kalong,KALONG II,31/16/02/019
2354,PLATEAU,SOUTHERN,SHENDAM,Kalong,GOESA UNG. ZAM,31/16/02/020
2355,PLATEAU,SOUTHERN,SHENDAM,Kalong,KALONG EAST II,31/16/02/021
2356,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (a),KWAPJUR I,31/16/03/001
2357,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (a),PUKOT,31/16/03/002
2358,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (a),KURUNGBOU ,31/16/03/003
2359,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (a),NYUUN,31/16/03/004
2360,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (a),TUMBI,31/16/03/005
2361,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (a),SHIANKWAM,31/16/03/006
2362,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (a),TUKUNG,31/16/03/007
2363,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (a),LONGVEL I,31/16/03/008
2364,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (a),LONGVEL II,31/16/03/009
2365,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (a),KWAPJUR II,31/16/03/010
2366,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (a),LONGVEL III,31/16/03/011
2367,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),DOLORI,31/16/04/001
2368,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),AJIKAMAI,31/16/04/002
2369,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),UNG. BURMAWA,31/16/04/003
2370,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),LUKUSHI CENTRAL,31/16/04/004
2371,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),GOMODAJI,31/16/04/005
2372,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),SABON LAYI,31/16/04/006
2373,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),LAKUSHI,31/16/04/007
2374,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),GONGVEL,31/16/04/008
2375,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),YAMINI UNG / HAUSAWA I,31/16/04/009
2376,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),LAWUR,31/16/04/010
2377,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),YAMINI T. DOROWA,31/16/04/011
2378,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),UNGWAN MUTUM,31/16/04/012
2379,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),YAMINI CENTRAL I,31/16/04/013
2380,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),RIJIYAN GIWA,31/16/04/014
2381,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),AJIKAMAI,31/16/04/015
2382,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),YAMINI CENTRAL II,31/16/04/016
2383,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),YAMINI UNG/ HAUSAWA II,31/16/04/017
2384,PLATEAU,SOUTHERN,SHENDAM,Kurungbau (b),SABON LAYI,31/16/04/018
2385,PLATEAU,SOUTHERN,SHENDAM,Moekat,COMPANY UNIT,31/16/05/001
2386,PLATEAU,SOUTHERN,SHENDAM,Moekat,KUKA UNG. ALI,31/16/05/002
2387,PLATEAU,SOUTHERN,SHENDAM,Moekat,KUKA UNG. GALADIMA I,31/16/05/003
2388,PLATEAU,SOUTHERN,SHENDAM,Moekat,KUKA PRY. SCHOOL,31/16/05/004
2389,PLATEAU,SOUTHERN,SHENDAM,Moekat,KUKA BAPTIST,31/16/05/005
2390,PLATEAU,SOUTHERN,SHENDAM,Moekat,NZAM KUKA,31/16/05/006
2391,PLATEAU,SOUTHERN,SHENDAM,Moekat,KUKA MARKET,31/16/05/007
2392,PLATEAU,SOUTHERN,SHENDAM,Moekat,PAPE,31/16/05/008
2393,PLATEAU,SOUTHERN,SHENDAM,Moekat,MOEKAT TOWN I,31/16/05/009
2394,PLATEAU,SOUTHERN,SHENDAM,Moekat,MOEKAT NPOLL I,31/16/05/010
2395,PLATEAU,SOUTHERN,SHENDAM,Moekat,MOEKAT PRY. SCH. I,31/16/05/011
2396,PLATEAU,SOUTHERN,SHENDAM,Moekat,MOEKAT PRY. SCH. II,31/16/05/012
2397,PLATEAU,SOUTHERN,SHENDAM,Moekat,KUKA UNG. GALADIMA II,31/16/05/013
2398,PLATEAU,SOUTHERN,SHENDAM,Moekat,MOEKAT TOWN II,31/16/05/014
2399,PLATEAU,SOUTHERN,SHENDAM,Moekat,MOEKAT NPOLL II,31/16/05/015
2400,PLATEAU,SOUTHERN,SHENDAM,Pangshom,PANGSHOOM,31/16/06/001
2401,PLATEAU,SOUTHERN,SHENDAM,Pangshom,KWAPKUWA,31/16/06/002
2402,PLATEAU,SOUTHERN,SHENDAM,Pangshom,SOKLUUT LUWA,31/16/06/003
2403,PLATEAU,SOUTHERN,SHENDAM,Pangshom,SOKLUUT LUKAWAP,31/16/06/004
2404,PLATEAU,SOUTHERN,SHENDAM,Pangshom,FAANJI,31/16/06/005
2405,PLATEAU,SOUTHERN,SHENDAM,Pangshom,NGARAS,31/16/06/006
2406,PLATEAU,SOUTHERN,SHENDAM,Pangshom,POEDIEL I,31/16/06/007
2407,PLATEAU,SOUTHERN,SHENDAM,Pangshom,TENGZET,31/16/06/008
2408,PLATEAU,SOUTHERN,SHENDAM,Pangshom,GUNG,31/16/06/009
2409,PLATEAU,SOUTHERN,SHENDAM,Pangshom,NJAK I,31/16/06/010
2410,PLATEAU,SOUTHERN,SHENDAM,Pangshom,NJAK II,31/16/06/011
2411,PLATEAU,SOUTHERN,SHENDAM,Pangshom,ZARKAT,31/16/06/012
2412,PLATEAU,SOUTHERN,SHENDAM,Pangshom,TOENADUNG,31/16/06/013
2413,PLATEAU,SOUTHERN,SHENDAM,Pangshom,GIDAN ADAMU,31/16/06/014
2414,PLATEAU,SOUTHERN,SHENDAM,Pangshom,DOKAN TOFA,31/16/06/015
2415,PLATEAU,SOUTHERN,SHENDAM,Pangshom,POEDIEL II,31/16/06/016
2416,PLATEAU,SOUTHERN,SHENDAM,Poeship,NTUER I,31/16/07/001
2417,PLATEAU,SOUTHERN,SHENDAM,Poeship,NTIAMHAM,31/16/07/002
2418,PLATEAU,SOUTHERN,SHENDAM,Poeship,SHANLANG,31/16/07/003
2419,PLATEAU,SOUTHERN,SHENDAM,Poeship,SHEPWAN,31/16/07/004
2420,PLATEAU,SOUTHERN,SHENDAM,Poeship,NBAAL PADAMA,31/16/07/005
2421,PLATEAU,SOUTHERN,SHENDAM,Poeship,NDER,31/16/07/006
2422,PLATEAU,SOUTHERN,SHENDAM,Poeship,ZAMLONG,31/16/07/007
2423,PLATEAU,SOUTHERN,SHENDAM,Poeship,BAKIN KOGI PRY. SCH I,31/16/07/008
2424,PLATEAU,SOUTHERN,SHENDAM,Poeship,KURWAT,31/16/07/009
2425,PLATEAU,SOUTHERN,SHENDAM,Poeship,TSORO,31/16/07/010
2426,PLATEAU,SOUTHERN,SHENDAM,Poeship,BAKIN KOGI PRY. SCH II,31/16/07/011
2427,PLATEAU,SOUTHERN,SHENDAM,Poeship,NTUER II,31/16/07/012
2428,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),DERJOT I,31/16/08/001
2429,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),CONGO,31/16/08/002
2430,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),PANGTUMU,31/16/08/003
2431,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),LUWOKUR NORTH,31/16/08/004
2432,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),OLD L.G.C. SECRETARIAT,31/16/08/005
2433,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),LONG GOEMAI PALANCE,31/16/08/006
2434,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),OLD MOTOR PARK,31/16/08/007
2435,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),UNG. HAUSAWA NORTH,31/16/08/008
2436,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),SHINKWAN,31/16/08/009
2437,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),G.S.S. SHENDAM,31/16/08/010
2438,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),KURUNG LAZAI,31/16/08/011
2439,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),KURUNAG NAMODU,31/16/08/012
2440,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),KOPGALWA,31/16/08/013
2441,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),KURUNG L. NAKWAN,31/16/08/014
2442,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),MAI. UNG. LONGKAT,31/16/08/015
2443,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),KWAPKOSHE,31/16/08/016
2444,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),KWANSAN,31/16/08/017
2445,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),KULUNG,31/16/08/018
2446,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),DERJOT II,31/16/08/019
2447,PLATEAU,SOUTHERN,SHENDAM,Shendam central (a),LONG GOEMAI PALACE,31/16/08/020
2448,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),LUWOKUR SOUTH I,31/16/09/001
2449,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),AJIKAMAI I,31/16/09/002
2450,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),KALONG ROAD A I,31/16/09/003
2451,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),DOROK STREET SOUTH I,31/16/09/004
2452,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),GARKAWA STREET A,31/16/09/005
2453,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),YARGAM STREET,31/16/09/006
2454,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),UNG. HAUSAWA SOUTH,31/16/09/007
2455,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),G.R.A,31/16/09/008
2456,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),UNGWAN WAMBAI,31/16/09/009
2457,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),L.E.A PRY. SCHOOL I,31/16/09/010
2458,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),FEDERAL LOWCOST,31/16/09/011
2459,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),KULUNG,31/16/09/012
2460,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),YARGAM SOUTH (B),31/16/09/013
2461,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),LUWOKUR SOUTH II,31/16/09/014
2462,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),AJIKAMAI II,31/16/09/015
2463,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),DOROK STREET SOUTH II,31/16/09/016
2464,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),GARKAWA STREET B,31/16/09/017
2465,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),UNG. HAUSAWA STREET,31/16/09/018
2466,PLATEAU,SOUTHERN,SHENDAM,Shendam central (b),L.E.A PRY. SCHOOL II,31/16/09/019
2467,PLATEAU,SOUTHERN,SHENDAM,Shimankar,BIEMBIEM I,31/16/10/001
2468,PLATEAU,SOUTHERN,SHENDAM,Shimankar,SHIMANKAR I,31/16/10/002
2469,PLATEAU,SOUTHERN,SHENDAM,Shimankar,MAKERA PRY. SCHOOL,31/16/10/003
2470,PLATEAU,SOUTHERN,SHENDAM,Shimankar,BIEMBIEM HAMBANG I,31/16/10/004
2471,PLATEAU,SOUTHERN,SHENDAM,Shimankar,UNG. ZURU,31/16/10/005
2472,PLATEAU,SOUTHERN,SHENDAM,Shimankar,BIEMBIEM DAM,31/16/10/006
2473,PLATEAU,SOUTHERN,SHENDAM,Shimankar,NDAYAK I,31/16/10/007
2474,PLATEAU,SOUTHERN,SHENDAM,Shimankar,YITPIA,31/16/10/008
2475,PLATEAU,SOUTHERN,SHENDAM,Shimankar,POETENG,31/16/10/009
2476,PLATEAU,SOUTHERN,SHENDAM,Shimankar,MANGGAP,31/16/10/010
2477,PLATEAU,SOUTHERN,SHENDAM,Shimankar,NEW MARKET,31/16/10/011
2478,PLATEAU,SOUTHERN,SHENDAM,Shimankar,KAWAN,31/16/10/012
2479,PLATEAU,SOUTHERN,SHENDAM,Shimankar,BIEMBIEM II,31/16/10/013
2480,PLATEAU,SOUTHERN,SHENDAM,Shimankar,NDAYAK II,31/16/10/014
2481,PLATEAU,SOUTHERN,SHENDAM,Shimankar,MANGGAP II,31/16/10/015
2482,PLATEAU,SOUTHERN,SHENDAM,Shimankar,SHIMANKAR II,31/16/10/016
2483,PLATEAU,SOUTHERN,SHENDAM,Shimankar,BIEMBIEM HAMBANG II,31/16/10/017
2484,PLATEAU,SOUTHERN,SHENDAM,Yelwa,NSHAR DAMINA,31/16/11/001
2485,PLATEAU,SOUTHERN,SHENDAM,Yelwa,TUDUN WADA PRY. SCHOOL,31/16/11/002
2486,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. GALADIMA NORTH,31/16/11/003
2487,PLATEAU,SOUTHERN,SHENDAM,Yelwa,YELWA CENTRAL PRY. SCHOOL I,31/16/11/004
2488,PLATEAU,SOUTHERN,SHENDAM,Yelwa,YELWA CENTRAL,31/16/11/005
2489,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. GALADIMA S. JARAWA,31/16/11/006
2490,PLATEAU,SOUTHERN,SHENDAM,Yelwa,DAFUL,31/16/11/007
2491,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. MURTALA A,31/16/11/008
2492,PLATEAU,SOUTHERN,SHENDAM,Yelwa,KOFAR WAMBAI  I,31/16/11/009
2493,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. GALAMBI I,31/16/11/010
2494,PLATEAU,SOUTHERN,SHENDAM,Yelwa,NSHAR,31/16/11/011
2495,PLATEAU,SOUTHERN,SHENDAM,Yelwa,KOFAR UMARU,31/16/11/012
2496,PLATEAU,SOUTHERN,SHENDAM,Yelwa,KOFAR UMARU SOUTH,31/16/11/013
2497,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. IYA SOUTH,31/16/11/014
2498,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. MADAKI SOUTH,31/16/11/015
2499,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. MADAKI SOUTH WEST,31/16/11/016
2500,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. MADAKI WEST,31/16/11/017
2501,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. GALAMBI II,31/16/11/018
2502,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. BARAYA SOUTH,31/16/11/019
2503,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. BARAYA B.,31/16/11/020
2504,PLATEAU,SOUTHERN,SHENDAM,Yelwa,G.S.S. YELWA A & B,31/16/11/021
2505,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. MURTALA B,31/16/11/022
2506,PLATEAU,SOUTHERN,SHENDAM,Yelwa,YELWA CENTRAL PRY. SCH. II,31/16/11/023
2507,PLATEAU,SOUTHERN,SHENDAM,Yelwa,KOFAR WAMBAI  II,31/16/11/024
2508,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. GALAMBI III,31/16/11/025
2509,PLATEAU,SOUTHERN,SHENDAM,Yelwa,UNG. BARAYA II,31/16/11/026
2510,PLATEAU,SOUTHERN,WASE,Bashar,AREA COURT,31/17/01/001
2511,PLATEAU,SOUTHERN,WASE,Bashar,UNG. GALADIMA I,31/17/01/002
2512,PLATEAU,SOUTHERN,WASE,Bashar,UNG. GALADIMA II,31/17/01/003
2513,PLATEAU,SOUTHERN,WASE,Bashar,JANBALDE,31/17/01/004
2514,PLATEAU,SOUTHERN,WASE,Bashar,MURAI GWARAM,31/17/01/005
2515,PLATEAU,SOUTHERN,WASE,Bashar,PRY. SCHOOL MADACI,31/17/01/006
2516,PLATEAU,SOUTHERN,WASE,Bashar,PRY. SCHOOL GAJI,31/17/01/007
2517,PLATEAU,SOUTHERN,WASE,Bashar,TAKALAFIYA,31/17/01/008
2518,PLATEAU,SOUTHERN,WASE,Bashar,SABON LAYI,31/17/01/009
2519,PLATEAU,SOUTHERN,WASE,Bashar,PRY. SCHOOL SAFIYO,31/17/01/010
2520,PLATEAU,SOUTHERN,WASE,Bashar,DOGON RUWA,31/17/01/011
2521,PLATEAU,SOUTHERN,WASE,Bashar,TAPGAN DORINA,31/17/01/012
2522,PLATEAU,SOUTHERN,WASE,Danbiram,CENTRAL PRY. SCH. WASE I,31/17/02/001
2523,PLATEAU,SOUTHERN,WASE,Danbiram,CENTRAL PRY. SCH. WASE II,31/17/02/002
2524,PLATEAU,SOUTHERN,WASE,Danbiram,UNG. MARAFA,31/17/02/003
2525,PLATEAU,SOUTHERN,WASE,Danbiram,G.S.S/KAURAN SARKI EAST,31/17/02/004
2526,PLATEAU,SOUTHERN,WASE,Danbiram,KAURAN SARKI WEST 1,31/17/02/005
2527,PLATEAU,SOUTHERN,WASE,Danbiram,UNG. GALADIMA,31/17/02/006
2528,PLATEAU,SOUTHERN,WASE,Danbiram,COTTAGE HOSPITAL,31/17/02/007
2529,PLATEAU,SOUTHERN,WASE,Danbiram,UNG. ZONGO,31/17/02/008
2530,PLATEAU,SOUTHERN,WASE,Danbiram,UNG. SAYAWA LOWCOST,31/17/02/009
2531,PLATEAU,SOUTHERN,WASE,Danbiram,KAURAN SARKI WEST II,31/17/02/010
2532,PLATEAU,SOUTHERN,WASE,Gudus,UNG. CHIROMA,31/17/03/001
2533,PLATEAU,SOUTHERN,WASE,Gudus,UNG. GALADIMA,31/17/03/002
2534,PLATEAU,SOUTHERN,WASE,Gudus,PRY. SCHOOL KUNKYAM,31/17/03/003
2535,PLATEAU,SOUTHERN,WASE,Gudus,KUNGURMI,31/17/03/004
2536,PLATEAU,SOUTHERN,WASE,Gudus,LOP BURUM,31/17/03/005
2537,PLATEAU,SOUTHERN,WASE,Gudus,UNG MADAKI YULI I,31/17/03/006
2538,PLATEAU,SOUTHERN,WASE,Gudus,UNG MADAKI YULI II,31/17/03/007
2539,PLATEAU,SOUTHERN,WASE,Gudus,PRY. SCH. YULI GALADI,31/17/03/008
2540,PLATEAU,SOUTHERN,WASE,Gudus,PRY. SCHOOL GINYIR,31/17/03/009
2541,PLATEAU,SOUTHERN,WASE,Gudus,JARMAI GAMU,31/17/03/010
2542,PLATEAU,SOUTHERN,WASE,Gudus,UNG. MADAKI GUDUS,31/17/03/011
2543,PLATEAU,SOUTHERN,WASE,Kadarko,"PRY. SCHOOL, BIYAK",31/17/04/001
2544,PLATEAU,SOUTHERN,WASE,Kadarko,"PRY. SCHOOL, KADARKO",31/17/04/002
2545,PLATEAU,SOUTHERN,WASE,Kadarko,SUKU SARKI,31/17/04/003
2546,PLATEAU,SOUTHERN,WASE,Kadarko,JAWURI,31/17/04/004
2547,PLATEAU,SOUTHERN,WASE,Kadarko,MAGARYA,31/17/04/005
2548,PLATEAU,SOUTHERN,WASE,Kadarko,BIYAK HAUSAWA,31/17/04/006
2549,PLATEAU,SOUTHERN,WASE,Kadarko,RUWAN GOGGO,31/17/04/007
2550,PLATEAU,SOUTHERN,WASE,Kadarko,TUNGAN HARDO JUMBA,31/17/04/008
2551,PLATEAU,SOUTHERN,WASE,Kadarko,GIMBI NG. MALL. DA,31/17/04/009
2552,PLATEAU,SOUTHERN,WASE,Kadarko,PRY. SCHOOL GIMBI,31/17/04/010
2553,PLATEAU,SOUTHERN,WASE,Kadarko,JAWONDO,31/17/04/011
2554,PLATEAU,SOUTHERN,WASE,Kadarko,RAFIN DUTSE,31/17/04/012
2555,PLATEAU,SOUTHERN,WASE,Kadarko,PRY. SCH. PINAU I,31/17/04/013
2556,PLATEAU,SOUTHERN,WASE,Kadarko,PRY. SCH. PINAU II,31/17/04/014
2557,PLATEAU,SOUTHERN,WASE,Kadarko,DEM SHENYA,31/17/04/015
2558,PLATEAU,SOUTHERN,WASE,Kadarko,GINDIN DUTSE,31/17/04/016
2559,PLATEAU,SOUTHERN,WASE,Kumbong,UNG. BALA,31/17/05/001
2560,PLATEAU,SOUTHERN,WASE,Kumbong,UNG. CHIROMA,31/17/05/002
2561,PLATEAU,SOUTHERN,WASE,Kumbur,PRY. SCHOOL KUMBUR,31/17/06/001
2562,PLATEAU,SOUTHERN,WASE,Kumbur,CHIWI (TIMSHAT),31/17/06/002
2563,PLATEAU,SOUTHERN,WASE,Kumbur,JIGAWAN AUDU,31/17/06/003
2564,PLATEAU,SOUTHERN,WASE,Kumbur,TIMUAT/SHERMA,31/17/06/004
2565,PLATEAU,SOUTHERN,WASE,Kumbur,PRY. SHOOL SINGHA,31/17/06/005
2566,PLATEAU,SOUTHERN,WASE,Kumbur,PRY SCHOOL G.(KOGI) I,31/17/06/006
2567,PLATEAU,SOUTHERN,WASE,Kumbur,PRY SCHOOL G.(KOGI) II,31/17/06/007
2568,PLATEAU,SOUTHERN,WASE,Kumbur,PRY. SCHOOL GAMJI,31/17/06/008
2569,PLATEAU,SOUTHERN,WASE,Kumbur,PRY. SCH. CHAPKWAI I,31/17/06/009
2570,PLATEAU,SOUTHERN,WASE,Kumbur,PRY. SCH. CHAPKWAI II,31/17/06/010
2571,PLATEAU,SOUTHERN,WASE,Kumbur,"PRY. SCHOOL, YAL",31/17/06/011
2572,PLATEAU,SOUTHERN,WASE,Kumbur,UNG. UBANDOMA,31/17/06/012
2573,PLATEAU,SOUTHERN,WASE,Kumbur,MAHANGA ZHIR,31/17/06/013
2574,PLATEAU,SOUTHERN,WASE,Kumbur,PRY. SCH. WADATAN KASUWA I,31/17/06/014
2575,PLATEAU,SOUTHERN,WASE,Kumbur,PRY. SCH. WADATAN KASUWA II,31/17/06/015
2576,PLATEAU,SOUTHERN,WASE,Kumbur,FARIN RUWA,31/17/06/016
2577,PLATEAU,SOUTHERN,WASE,Kumbur,KAWO TIV,31/17/06/017
2578,PLATEAU,SOUTHERN,WASE,Kumbur,JAWURI FULANI,31/17/06/018
2579,PLATEAU,SOUTHERN,WASE,Kumbur,"PRY. SCHOOL, WADATAN AREWA",31/17/06/019
2580,PLATEAU,SOUTHERN,WASE,Kumbur,LAGAN UBANDOMA,31/17/06/020
2581,PLATEAU,SOUTHERN,WASE,Kuyambana,UNG. GOBIRAWA,31/17/07/001
2582,PLATEAU,SOUTHERN,WASE,Kuyambana,UNG. BURMAWA,31/17/07/002
2583,PLATEAU,SOUTHERN,WASE,Kuyambana,AREA COURT/UNG. MATSINTA,31/17/07/003
2584,PLATEAU,SOUTHERN,WASE,Kuyambana,UNG. KAROFI,31/17/07/004
2585,PLATEAU,SOUTHERN,WASE,Kuyambana,"PRY. SCHOOL, U/KUYAMBANA",31/17/07/005
2586,PLATEAU,SOUTHERN,WASE,Kuyambana,V.R.T.B/RUGANJODI,31/17/07/006
2587,PLATEAU,SOUTHERN,WASE,Kuyambana,UNG. CHIROMA,31/17/07/007
2588,PLATEAU,SOUTHERN,WASE,Kuyambana,"PRY. SCHOOL, U/MALLAM ADAMA",31/17/07/008
2589,PLATEAU,SOUTHERN,WASE,Kuyambana,UNG. MADAKI,31/17/07/009
2590,PLATEAU,SOUTHERN,WASE,Mavo,UNG. SARKIN YAKI,31/17/08/001
2591,PLATEAU,SOUTHERN,WASE,Mavo,UNG. DANBIRAM,31/17/08/002
2592,PLATEAU,SOUTHERN,WASE,Mavo,G.S.S. MAVO,31/17/08/003
2593,PLATEAU,SOUTHERN,WASE,Mavo,UNG. TSAKUWA,31/17/08/004
2594,PLATEAU,SOUTHERN,WASE,Mavo,KANWA,31/17/08/005
2595,PLATEAU,SOUTHERN,WASE,Mavo,"PRY. SCHOOL, TSAMIYA",31/17/08/006
2596,PLATEAU,SOUTHERN,WASE,Mavo,NYINGILING,31/17/08/007
2597,PLATEAU,SOUTHERN,WASE,Mavo,TENAM,31/17/08/008
2598,PLATEAU,SOUTHERN,WASE,Mavo,SABON GIDA MAVO,31/17/08/009
2599,PLATEAU,SOUTHERN,WASE,Mavo,BAKIN RIJIYA,31/17/08/010
2600,PLATEAU,SOUTHERN,WASE,Nyalum/kampani,NYALUM PRY SCH,31/17/09/001
2601,PLATEAU,SOUTHERN,WASE,Nyalum/kampani,U/MADAKI NYALUM,31/17/09/002
2602,PLATEAU,SOUTHERN,WASE,Nyalum/kampani,BUNYUN,31/17/09/003
2603,PLATEAU,SOUTHERN,WASE,Nyalum/kampani,ZAK,31/17/09/004
2604,PLATEAU,SOUTHERN,WASE,Nyalum/kampani,SABON GARI,31/17/09/005
2605,PLATEAU,SOUTHERN,WASE,Nyalum/kampani,PRY. SCH. KAMPANI I,31/17/09/006
